,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,changepoint_range,mse
387,0.1,0.1,1.0,additive,0.95,0.032671438407928195
388,0.1,0.1,1.0,multiplicative,0.8,0.048942755583983484
389,0.1,0.1,1.0,multiplicative,0.85,0.027364755384510487
390,0.1,0.1,1.0,multiplicative,0.9,0.048195304379416215
391,0.1,0.1,1.0,multiplicative,0.95,0.03256639090972114
392,0.1,0.1,10.0,additive,0.8,0.04730848046438564
393,0.1,0.1,10.0,additive,0.85,0.027187032393374395
394,0.1,0.1,10.0,additive,0.9,0.04761186745835626
395,0.1,0.1,10.0,additive,0.95,0.032671438407928195
396,0.1,0.1,10.0,multiplicative,0.8,0.048942755583983484
397,0.1,0.1,10.0,multiplicative,0.85,0.027364755384510487
398,0.1,0.1,10.0,multiplicative,0.9,0.048195304379416215
399,0.1,0.1,10.0,multiplicative,0.95,0.03256639090972114
400,0.1,0.5,0.01,additive,0.8,0.0482722932382959
401,0.1,0.5,0.01,additive,0.85,0.027353989511774163
402,0.1,0.5,0.01,additive,0.9,0.048042510018420595
403,0.1,0.5,0.01,additive,0.95,0.03200650667471205
404,0.1,0.5,0.01,multiplicative,0.8,0.04885725545344459
405,0.1,0.5,0.01,multiplicative,0.85,0.027560629919293467
406,0.1,0.5,0.01,multiplicative,0.9,0.04827256751784392
407,0.1,0.5,0.01,multiplicative,0.95,0.03247405146233764
408,0.1,0.5,0.1,additive,0.8,0.0482722932382959
409,0.1,0.5,0.1,additive,0.85,0.027353989511774163
410,0.1,0.5,0.1,additive,0.9,0.048042510018420595
411,0.1,0.5,0.1,additive,0.95,0.03200650667471205
412,0.1,0.5,0.1,multiplicative,0.8,0.04885725545344459
413,0.1,0.5,0.1,multiplicative,0.85,0.027560629919293467
414,0.1,0.5,0.1,multiplicative,0.9,0.04827256751784392
415,0.1,0.5,0.1,multiplicative,0.95,0.03247405146233764
416,0.1,0.5,0.5,additive,0.8,0.0482722932382959
417,0.1,0.5,0.5,additive,0.85,0.027353989511774163
418,0.1,0.5,0.5,additive,0.9,0.048042510018420595
419,0.1,0.5,0.5,additive,0.95,0.03200650667471205
420,0.1,0.5,0.5,multiplicative,0.8,0.04885725545344459
421,0.1,0.5,0.5,multiplicative,0.85,0.027560629919293467
422,0.1,0.5,0.5,multiplicative,0.9,0.04827256751784392
423,0.1,0.5,0.5,multiplicative,0.95,0.03247405146233764
424,0.1,0.5,1.0,additive,0.8,0.0482722932382959
425,0.1,0.5,1.0,additive,0.85,0.027353989511774163
426,0.1,0.5,1.0,additive,0.9,0.048042510018420595
427,0.1,0.5,1.0,additive,0.95,0.03200650667471205
428,0.1,0.5,1.0,multiplicative,0.8,0.04885725545344459
429,0.1,0.5,1.0,multiplicative,0.85,0.027560629919293467
430,0.1,0.5,1.0,multiplicative,0.9,0.04827256751784392
431,0.1,0.5,1.0,multiplicative,0.95,0.03247405146233764
432,0.1,0.5,10.0,additive,0.8,0.0482722932382959
433,0.1,0.5,10.0,additive,0.85,0.027353989511774163
434,0.1,0.5,10.0,additive,0.9,0.048042510018420595
435,0.1,0.5,10.0,additive,0.95,0.03200650667471205
